Experiment: floating_5det_two_layer_low_tile
Date: 20260406_1609
==================================================
Epoch | Train Loss | Train Acc | Val Loss | Val Acc | LR | Int.Ratio | MaskWt | Time(s) | Status
  136 |   2.622158 |    0.8787 | 0.061569 |  0.9155 | 1.00e-03 | 52.2680 | 1500.0000 |   79.35 | 
  137 |   5.886477 |    0.8722 | 0.061844 |  0.9175 | 1.00e-03 | 52.0089 | 1500.0000 |   82.64 | 
  138 |   5.065170 |    0.8788 | 0.062022 |  0.9260 | 1.00e-03 | 51.9702 | 1500.0000 |   81.99 | 
  139 |   6.313538 |    0.8768 | 0.061786 |  0.9235 | 1.00e-03 | 52.0561 | 1500.0000 |   80.21 | 
  140 |   5.323010 |    0.8754 | 0.061943 |  0.8830 | 1.00e-03 | 52.1002 | 1500.0000 |   81.07 | 
  141 |   6.214387 |    0.8771 | 0.062067 |  0.9335 | 5.00e-04 | 51.8494 | 1500.0000 |   82.02 | 
  142 |   3.518213 |    0.8857 | 0.061537 |  0.9345 | 5.00e-04 | 52.1525 | 1500.0000 |   82.28 | 
  143 |   5.625107 |    0.8852 | 0.061662 |  0.9080 | 5.00e-04 | 52.1769 | 1500.0000 |   83.25 | 
  144 |   1.772458 |    0.8808 | 0.061668 |  0.9185 | 5.00e-04 | 52.0901 | 1500.0000 |   81.88 | 
  145 |   3.921059 |    0.8848 | 0.061634 |  0.9245 | 5.00e-04 | 52.1407 | 1500.0000 |   80.24 | 
  146 |   5.632746 |    0.8779 | 0.061541 |  0.9380 | 5.00e-04 | 52.1040 | 1500.0000 |   82.47 | 
  147 |   2.176382 |    0.8904 | 0.061387 |  0.9230 | 5.00e-04 | 52.2452 | 1500.0000 |   78.14 | 
  148 |   4.505296 |    0.8871 | 0.061428 |  0.9240 | 5.00e-04 | 52.1845 | 1500.0000 |   82.19 | 
  149 |   6.908300 |    0.8740 | 0.061264 |  0.9205 | 5.00e-04 | 52.3919 | 1500.0000 |   82.33 | Best Model Saved
  150 |   4.320839 |    0.8771 | 0.061207 |  0.9215 | 5.00e-04 | 52.3965 | 1500.0000 |   82.41 | Best Model Saved
--------------------------------------------------------------------------------
Total training time: 12070.79 seconds
Best Validation Accuracy (associated with best score): 0.921500
Best Score: 27.119745
