Experiment: floating_5det_two_layer_low_tile
Date: 20260406_1609
==================================================
Epoch | Train Loss | Train Acc | Val Loss | Val Acc | LR | Int.Ratio | MaskWt | Time(s) | Status
   46 |   2.983493 |    0.8449 | 0.070518 |  0.8705 | 1.00e-03 | 48.1617 | 1500.0000 |   78.56 | 
   47 |   2.858506 |    0.8511 | 0.069256 |  0.9055 | 1.00e-03 | 48.5952 | 1500.0000 |   81.28 | 
   48 |   2.008901 |    0.8542 | 0.068803 |  0.8755 | 1.00e-03 | 48.9165 | 1500.0000 |   78.53 | Best Model Saved
   49 |   3.940208 |    0.8501 | 0.068597 |  0.9060 | 1.00e-03 | 48.9362 | 1500.0000 |   78.65 | Best Model Saved
   50 |   4.781324 |    0.8569 | 0.068073 |  0.9070 | 1.00e-03 | 49.1467 | 1500.0000 |   81.23 | Best Model Saved
   51 |   4.006151 |    0.8577 | 0.068355 |  0.8825 | 1.00e-03 | 49.0614 | 1500.0000 |   81.45 | 
   52 |   7.703066 |    0.8520 | 0.068599 |  0.8650 | 1.00e-03 | 49.0621 | 1500.0000 |   80.67 | 
   53 |   3.334635 |    0.8540 | 0.068305 |  0.8920 | 1.00e-03 | 49.0776 | 1500.0000 |   78.75 | 
   54 |   3.589449 |    0.8597 | 0.068089 |  0.8670 | 1.00e-03 | 49.2450 | 1500.0000 |   79.26 | Best Model Saved
   55 |   3.106794 |    0.8543 | 0.068237 |  0.8505 | 1.00e-03 | 49.2307 | 1500.0000 |   78.64 | 
   56 |   3.889291 |    0.8605 | 0.067177 |  0.9130 | 1.00e-03 | 49.6005 | 1500.0000 |   80.40 | Best Model Saved
   57 |   3.395429 |    0.8516 | 0.067634 |  0.8645 | 1.00e-03 | 49.5638 | 1500.0000 |   80.26 | 
   58 |   2.879722 |    0.8492 | 0.068251 |  0.8530 | 1.00e-03 | 49.1893 | 1500.0000 |   79.90 | 
   59 |   2.825472 |    0.8545 | 0.067930 |  0.8565 | 1.00e-03 | 49.3772 | 1500.0000 |   80.64 | 
   60 |   7.048562 |    0.8609 | 0.068776 |  0.8500 | 1.00e-03 | 48.9980 | 1500.0000 |   81.94 | 
   61 |   6.984763 |    0.8577 | 0.068210 |  0.8775 | 1.00e-03 | 49.2066 | 1500.0000 |   79.34 | 
   62 |   3.108171 |    0.8609 | 0.067177 |  0.8880 | 1.00e-03 | 49.6010 | 1500.0000 |   81.55 | 
   63 |   3.530138 |    0.8568 | 0.066388 |  0.9065 | 1.00e-03 | 49.9646 | 1500.0000 |   81.46 | Best Model Saved
   64 |   4.278008 |    0.8619 | 0.066852 |  0.8665 | 1.00e-03 | 49.7966 | 1500.0000 |   82.49 | 
   65 |   3.512881 |    0.8533 | 0.066685 |  0.8430 | 1.00e-03 | 50.1298 | 1500.0000 |   81.55 | Best Model Saved
   66 |   7.603648 |    0.8556 | 0.066787 |  0.8775 | 1.00e-03 | 49.8686 | 1500.0000 |   79.26 | 
   67 |   2.692006 |    0.8524 | 0.067746 |  0.8310 | 1.00e-03 | 49.4701 | 1500.0000 |   79.90 | 
   68 |   3.602033 |    0.8604 | 0.066563 |  0.9020 | 1.00e-03 | 49.8596 | 1500.0000 |   80.94 | 
   69 |   3.550745 |    0.8653 | 0.066258 |  0.8815 | 1.00e-03 | 50.0714 | 1500.0000 |   79.10 | Best Model Saved
   70 |   3.621950 |    0.8528 | 0.066078 |  0.9120 | 1.00e-03 | 50.0904 | 1500.0000 |   80.69 | Best Model Saved
   71 |   4.566148 |    0.8701 | 0.066479 |  0.8630 | 1.00e-03 | 49.9983 | 1500.0000 |   80.06 | 
   72 |   3.479881 |    0.8652 | 0.066318 |  0.8835 | 1.00e-03 | 50.0240 | 1500.0000 |   80.77 | 
   73 |   3.911799 |    0.8641 | 0.066361 |  0.8775 | 1.00e-03 | 50.1466 | 1500.0000 |   81.03 | 
   74 |   3.436189 |    0.8598 | 0.066425 |  0.8810 | 1.00e-03 | 50.0034 | 1500.0000 |   81.12 | 
   75 |   3.608662 |    0.8602 | 0.065421 |  0.9170 | 1.00e-03 | 50.4188 | 1500.0000 |   77.29 | Best Model Saved
   76 |   7.576339 |    0.8586 | 0.065905 |  0.9025 | 1.00e-03 | 50.2146 | 1500.0000 |   81.78 | 
