epoch,train_loss,val_loss,train_acc,val_acc,learning_rate
110,4.380813,0.063251,0.870707,0.924500,1.00e-03
111,3.276546,0.064413,0.861490,0.876000,1.00e-03
112,5.298679,0.063954,0.871970,0.884000,1.00e-03
113,4.086592,0.063462,0.876768,0.919000,1.00e-03
114,4.493395,0.063252,0.875126,0.908000,1.00e-03
115,4.476076,0.062853,0.874747,0.926500,1.00e-03
116,3.456053,0.063151,0.875379,0.885000,1.00e-03
117,6.166267,0.062936,0.872601,0.907500,1.00e-03
118,9.827290,0.063755,0.861111,0.881000,1.00e-03
119,4.988547,0.063175,0.881818,0.901000,1.00e-03
120,5.131055,0.062495,0.878283,0.925500,1.00e-03
121,3.834836,0.063356,0.866540,0.897500,1.00e-03
122,2.771373,0.062593,0.878409,0.927000,1.00e-03
123,3.992069,0.062543,0.878283,0.924500,1.00e-03
124,4.270040,0.063681,0.871212,0.877500,1.00e-03
125,4.532991,0.063113,0.873737,0.893000,1.00e-03
126,3.600856,0.062659,0.876515,0.929500,1.00e-03
127,3.089748,0.062698,0.882197,0.903500,1.00e-03
128,5.858140,0.063514,0.883586,0.856500,1.00e-03
129,2.690223,0.062102,0.873864,0.921500,1.00e-03
130,3.424161,0.061523,0.874747,0.930000,1.00e-03
131,5.804645,0.062505,0.879293,0.919000,1.00e-03
132,3.442679,0.062421,0.871465,0.904000,1.00e-03
133,2.985930,0.062365,0.883081,0.894500,1.00e-03
134,3.734661,0.062252,0.878283,0.891500,1.00e-03
135,5.504341,0.062661,0.875000,0.877000,1.00e-03
136,2.622158,0.061569,0.878662,0.915500,1.00e-03
137,5.886477,0.061844,0.872222,0.917500,1.00e-03
138,5.065170,0.062022,0.878788,0.926000,1.00e-03
139,6.313538,0.061786,0.876768,0.923500,1.00e-03
140,5.323010,0.061943,0.875379,0.883000,1.00e-03
141,6.214387,0.062067,0.877146,0.933500,5.00e-04
142,3.518213,0.061537,0.885732,0.934500,5.00e-04
143,5.625107,0.061662,0.885227,0.908000,5.00e-04
144,1.772458,0.061668,0.880808,0.918500,5.00e-04
145,3.921059,0.061634,0.884848,0.924500,5.00e-04
146,5.632746,0.061541,0.877904,0.938000,5.00e-04
147,2.176382,0.061387,0.890404,0.923000,5.00e-04
148,4.505296,0.061428,0.887121,0.924000,5.00e-04
149,6.908300,0.061264,0.873990,0.920500,5.00e-04
150,4.320839,0.061207,0.877146,0.921500,5.00e-04
