epoch,train_loss,val_loss,train_acc,val_acc,learning_rate
110,2.132061,0.141195,0.792677,0.740500,7.81e-06
111,1.587500,0.153547,0.789394,0.740500,7.81e-06
112,1.631527,0.163539,0.777525,0.740000,7.81e-06
113,1.416639,0.157738,0.781566,0.740500,7.81e-06
114,1.251876,0.155385,0.783207,0.740500,7.81e-06
115,2.395343,0.159314,0.777904,0.740500,7.81e-06
116,2.167501,0.169042,0.789646,0.739500,7.81e-06
117,1.139857,0.167346,0.778030,0.740000,7.81e-06
118,1.739346,0.168851,0.770960,0.739500,7.81e-06
119,1.118621,0.159153,0.776515,0.740000,3.91e-06
120,1.220794,0.156905,0.777146,0.740000,3.91e-06
121,1.240662,0.160271,0.783333,0.740000,3.91e-06
122,1.543005,0.165688,0.790278,0.739500,3.91e-06
123,4.762886,0.166825,0.779040,0.739500,3.91e-06
124,2.998185,0.162401,0.776136,0.740000,3.91e-06
125,1.352278,0.157817,0.778788,0.740500,3.91e-06
126,1.277108,0.159182,0.781818,0.740500,3.91e-06
127,0.901161,0.155300,0.781187,0.740500,3.91e-06
128,1.288151,0.154727,0.771591,0.740000,3.91e-06
129,1.320568,0.155958,0.790025,0.740500,3.91e-06
130,1.206036,0.156112,0.784975,0.740500,1.95e-06
131,0.609860,0.155120,0.792298,0.740500,1.95e-06
132,1.417646,0.153497,0.776136,0.740500,1.95e-06
133,0.656310,0.152120,0.772475,0.740500,1.95e-06
134,1.740981,0.151507,0.785227,0.740500,1.95e-06
135,1.838480,0.151476,0.792298,0.740500,1.95e-06
136,1.356012,0.152117,0.782449,0.740500,1.95e-06
137,0.987617,0.151384,0.774116,0.740500,1.95e-06
138,1.514033,0.151936,0.779924,0.740500,1.95e-06
139,0.898954,0.151829,0.774747,0.740500,1.95e-06
140,1.107633,0.153119,0.780556,0.740500,1.95e-06
141,1.777460,0.154120,0.792803,0.740500,9.77e-07
142,13.272914,0.152746,0.778535,0.740500,9.77e-07
143,1.228045,0.153218,0.780934,0.740500,9.77e-07
144,0.776801,0.153824,0.784343,0.740500,9.77e-07
145,1.577594,0.154707,0.789773,0.740500,9.77e-07
146,1.355238,0.155265,0.786364,0.740500,9.77e-07
147,0.781755,0.156656,0.779167,0.740500,9.77e-07
148,0.794148,0.155177,0.780177,0.740500,9.77e-07
149,1.272769,0.155161,0.782449,0.740500,9.77e-07
150,1.572551,0.155717,0.786237,0.740500,9.77e-07
