Experiment: floating_5det_two_layer
Date: 20260406_0332
==================================================
Epoch | Train Loss | Train Acc | Val Loss | Val Acc | LR | Int.Ratio | MaskWt | Time(s) | Status
   48 |   2.278211 |    0.7732 | 0.114878 |  0.7425 | 5.00e-04 | 39.0828 | 1500.0000 |   81.48 | 
   49 |   1.808673 |    0.7847 | 1.480078 |  0.7200 | 5.00e-04 | 39.0014 | 1500.0000 |   79.76 | 
   50 |   1.083603 |    0.7759 | 0.283869 |  0.7455 | 5.00e-04 | 39.0744 | 1500.0000 |   82.87 | 
   51 |   2.144598 |    0.7784 | 0.092333 |  0.7335 | 5.00e-04 | 39.0576 | 1500.0000 |   79.78 | 
   52 |   1.959777 |    0.7845 | 0.619669 |  0.7295 | 5.00e-04 | 39.0429 | 1500.0000 |   80.51 | 
   53 |   3.170278 |    0.7617 | 0.166908 |  0.7300 | 2.50e-04 | 38.9759 | 1500.0000 |   80.74 | 
   54 |   1.078479 |    0.7831 | 0.319294 |  0.7305 | 2.50e-04 | 38.9916 | 1500.0000 |   82.01 | 
   55 |   1.939575 |    0.7730 | 0.092310 |  0.7360 | 2.50e-04 | 39.0398 | 1500.0000 |   81.76 | 
   56 |   1.300067 |    0.7862 | 0.092179 |  0.7400 | 2.50e-04 | 39.0705 | 1500.0000 |   80.53 | 
   57 |   2.144430 |    0.7813 | 0.173936 |  0.7315 | 2.50e-04 | 39.0533 | 1500.0000 |   82.06 | 
   58 |   0.994729 |    0.7799 | 0.105232 |  0.7350 | 2.50e-04 | 39.0917 | 1500.0000 |   81.80 | 
   59 |   2.073845 |    0.7817 | 0.092036 |  0.7430 | 2.50e-04 | 39.1168 | 1500.0000 |   81.66 | 
   60 |   1.455122 |    0.7817 | 0.276722 |  0.7380 | 2.50e-04 | 39.0932 | 1500.0000 |   77.35 | 
   61 |   0.831343 |    0.7735 | 0.221896 |  0.7430 | 2.50e-04 | 39.1021 | 1500.0000 |   80.27 | 
   62 |   1.587141 |    0.7718 | 0.520354 |  0.7295 | 2.50e-04 | 39.0376 | 1500.0000 |   80.88 | 
   63 |   1.751884 |    0.7754 | 0.431427 |  0.7290 | 2.50e-04 | 39.0428 | 1500.0000 |   81.32 | 
   64 |   7.534467 |    0.7851 | 0.342892 |  0.7310 | 1.25e-04 | 39.0431 | 1500.0000 |   81.67 | 
   65 |   2.082326 |    0.7862 | 0.504583 |  0.7310 | 1.25e-04 | 39.0515 | 1500.0000 |   81.02 | 
   66 |   1.778476 |    0.7802 | 0.726296 |  0.7275 | 1.25e-04 | 39.0552 | 1500.0000 |   80.16 | 
   67 |   1.306281 |    0.7759 | 0.430731 |  0.7310 | 1.25e-04 | 39.0525 | 1500.0000 |   80.12 | 
   68 |   1.530067 |    0.7756 | 0.505106 |  0.7300 | 1.25e-04 | 39.0547 | 1500.0000 |   80.62 | 
   69 |   0.864091 |    0.7761 | 0.666974 |  0.7275 | 1.25e-04 | 39.0602 | 1500.0000 |   81.67 | 
   70 |   3.515487 |    0.7777 | 0.275638 |  0.7310 | 1.25e-04 | 39.0861 | 1500.0000 |   80.01 | 
   71 |   3.221608 |    0.7794 | 0.223073 |  0.7320 | 1.25e-04 | 39.0874 | 1500.0000 |   82.09 | 
   72 |   1.314920 |    0.7824 | 0.235438 |  0.7320 | 1.25e-04 | 39.0876 | 1500.0000 |   79.74 | 
   73 |   0.812095 |    0.7801 | 0.292907 |  0.7320 | 1.25e-04 | 39.0836 | 1500.0000 |   82.08 | 
   74 |   1.575803 |    0.7884 | 0.208767 |  0.7425 | 1.25e-04 | 39.1024 | 1500.0000 |   80.57 | 
   75 |   0.535859 |    0.7845 | 0.188490 |  0.7585 | 6.25e-05 | 39.1190 | 1500.0000 |   82.16 | 
   76 |   2.662058 |    0.7687 | 0.178111 |  0.7520 | 6.25e-05 | 39.1159 | 1500.0000 |   80.66 | 
   77 |   3.371881 |    0.7758 | 0.162580 |  0.7395 | 6.25e-05 | 39.1144 | 1500.0000 |   80.41 | 
   78 |   4.075415 |    0.7818 | 0.140901 |  0.7385 | 6.25e-05 | 39.1110 | 1500.0000 |   80.62 | 
   79 |   1.086411 |    0.7811 | 0.196227 |  0.7365 | 6.25e-05 | 39.1111 | 1500.0000 |   83.55 | 
   80 |   0.836485 |    0.7739 | 0.128323 |  0.7380 | 6.25e-05 | 39.1192 | 1500.0000 |   81.94 | 
   81 |   1.221399 |    0.7889 | 0.092012 |  0.7410 | 6.25e-05 | 39.1217 | 1500.0000 |   80.15 | 
   82 |   1.302337 |    0.7779 | 0.091997 |  0.7430 | 6.25e-05 | 39.1241 | 1500.0000 |   78.40 | 
   83 |   3.211011 |    0.7894 | 0.092039 |  0.7405 | 6.25e-05 | 39.1150 | 1500.0000 |   81.86 | 
   84 |   1.221232 |    0.7846 | 0.176792 |  0.7395 | 6.25e-05 | 39.1107 | 1500.0000 |   82.91 | 
   85 |   0.989639 |    0.7836 | 0.165739 |  0.7410 | 6.25e-05 | 39.1155 | 1500.0000 |   82.32 | 
   86 |   4.086517 |    0.7765 | 0.144003 |  0.7375 | 3.13e-05 | 39.1096 | 1500.0000 |   80.13 | 
   87 |   0.664296 |    0.7794 | 0.121941 |  0.7410 | 3.13e-05 | 39.1161 | 1500.0000 |   80.64 | 
   88 |   3.704304 |    0.7794 | 0.134932 |  0.7395 | 3.13e-05 | 39.1122 | 1500.0000 |   82.59 | 
   89 |   1.243217 |    0.7769 | 0.154384 |  0.7390 | 3.13e-05 | 39.1104 | 1500.0000 |   82.87 | 
   90 |   0.830833 |    0.7788 | 0.161384 |  0.7405 | 3.13e-05 | 39.1118 | 1500.0000 |   79.86 | 
   91 |   1.109355 |    0.7912 | 0.200930 |  0.7400 | 3.13e-05 | 39.1115 | 1500.0000 |   80.95 | 
   92 |   1.830788 |    0.7756 | 0.211264 |  0.7395 | 3.13e-05 | 39.1096 | 1500.0000 |   79.29 | 
   93 |   1.009293 |    0.7684 | 0.166653 |  0.7410 | 3.13e-05 | 39.1104 | 1500.0000 |   82.30 | 
   94 |   0.618390 |    0.7773 | 0.147875 |  0.7405 | 3.13e-05 | 39.1126 | 1500.0000 |   83.96 | 
   95 |   0.948860 |    0.7784 | 0.117292 |  0.7420 | 3.13e-05 | 39.1173 | 1500.0000 |   80.21 | 
   96 |   1.738654 |    0.7729 | 0.142521 |  0.7395 | 3.13e-05 | 39.1148 | 1500.0000 |   80.25 | 
   97 |   2.309568 |    0.7794 | 0.146825 |  0.7350 | 1.56e-05 | 39.1131 | 1500.0000 |   80.75 | 
   98 |   1.183372 |    0.7802 | 0.146936 |  0.7355 | 1.56e-05 | 39.1130 | 1500.0000 |   80.29 | 
   99 |   1.288015 |    0.7881 | 0.140411 |  0.7365 | 1.56e-05 | 39.1145 | 1500.0000 |   82.19 | 
