Experiment: floating_5det_two_layer
Date: 20260404_0341
==================================================
Epoch | Train Loss | Train Acc | Val Loss | Val Acc | LR | Int.Ratio | MaskWt | Time(s) | Status
   45 | 545.941542 |    0.9884 | 387.180781 |  0.9805 | 1.00e-03 | 59.7070 | 2500.0000 |   69.84 | Best Model Saved
   46 | 793.727384 |    0.9712 | 419.916232 |  0.9905 | 1.00e-03 | 59.6304 | 2500.0000 |   70.67 | 
   47 | 711.402244 |    0.9783 | 518.103967 |  0.9490 | 1.00e-03 | 59.5367 | 2500.0000 |   70.57 | 
   48 | 590.187675 |    0.9858 | 224.324476 |  0.9975 | 1.00e-03 | 59.7189 | 2500.0000 |   73.26 | Best Model Saved
   49 | 537.283634 |    0.9901 | 242.239009 |  1.0000 | 1.00e-03 | 59.6400 | 2500.0000 |   71.51 | 
   50 | 565.878544 |    0.9885 | 339.834434 |  0.9905 | 1.00e-03 | 59.9907 | 2500.0000 |   73.44 | Best Model Saved
   51 | 591.847844 |    0.9806 | 269.585777 |  0.9905 | 1.00e-03 | 59.9650 | 2500.0000 |   71.65 | 
   52 | 540.616014 |    0.9846 | 455.571126 |  0.9575 | 1.00e-03 | 59.9218 | 2500.0000 |   72.32 | 
   53 | 638.479342 |    0.9806 | 362.469396 |  0.9705 | 1.00e-03 | 59.8722 | 2500.0000 |   72.74 | 
   54 | 673.775790 |    0.9807 | 415.206179 |  0.9560 | 1.00e-03 | 59.9480 | 2500.0000 |   71.20 | 
   55 | 507.210990 |    0.9792 | 456.448609 |  0.9500 | 1.00e-03 | 60.0348 | 2500.0000 |   71.66 | 
   56 | 494.139083 |    0.9862 | 198.435164 |  0.9960 | 1.00e-03 | 60.1037 | 2500.0000 |   71.27 | Best Model Saved
   57 | 462.574328 |    0.9927 | 312.540368 |  0.9815 | 1.00e-03 | 60.1527 | 2500.0000 |   70.50 | Best Model Saved
   58 | 578.862386 |    0.9822 | 168.038278 |  0.9995 | 1.00e-03 | 60.0948 | 2500.0000 |   81.64 | 
   59 | 451.044071 |    0.9970 | 125.197714 |  1.0000 | 1.00e-03 | 60.2710 | 2500.0000 |   79.88 | Best Model Saved
   60 | 541.201935 |    0.9871 | 146.714941 |  0.9995 | 1.00e-03 | 60.2717 | 2500.0000 |   72.25 | 
   61 | 396.153811 |    0.9891 | 141.436334 |  1.0000 | 1.00e-03 | 60.3591 | 2500.0000 |   67.64 | Best Model Saved
   62 | 464.526625 |    0.9943 | 119.727613 |  0.9995 | 1.00e-03 | 60.3351 | 2500.0000 |   71.18 | 
   63 | 610.410944 |    0.9926 | 173.623340 |  0.9965 | 1.00e-03 | 60.4712 | 2500.0000 |   73.12 | Best Model Saved
   64 | 305.151388 |    0.9975 | 163.283384 |  0.9980 | 1.00e-03 | 60.4010 | 2500.0000 |   71.15 | 
   65 | 447.717930 |    0.9973 | 123.312554 |  1.0000 | 1.00e-03 | 60.4505 | 2500.0000 |   70.18 | 
   66 | 501.164347 |    0.9790 | 231.631458 |  0.9905 | 1.00e-03 | 60.3916 | 2500.0000 |   73.04 | 
   67 | 344.167521 |    0.9904 | 230.533224 |  0.9915 | 1.00e-03 | 60.4724 | 2500.0000 |   69.42 | 
   68 | 568.556269 |    0.9831 | 78.364545 |  1.0000 | 1.00e-03 | 60.2565 | 2500.0000 |   72.88 | 
   69 | 275.285376 |    0.9956 | 65.421648 |  1.0000 | 1.00e-03 | 60.5744 | 2500.0000 |   72.57 | Best Model Saved
   70 | 289.129047 |    0.9983 | 64.986243 |  1.0000 | 1.00e-03 | 60.6278 | 2500.0000 |   70.79 | Best Model Saved
