epoch,train_loss,val_loss,train_acc,val_acc,learning_rate
103,1644.581116,940.402362,0.946465,0.983500,1.00e-03
104,1576.720149,903.663482,0.953662,0.974000,1.00e-03
105,1626.186366,895.464485,0.951010,0.962000,1.00e-03
106,1614.608422,992.767137,0.950379,0.981500,1.00e-03
107,1457.151148,855.325510,0.953914,0.961500,1.00e-03
108,1767.870798,982.139028,0.944949,0.986500,1.00e-03
109,1693.651876,839.449144,0.947980,0.976000,1.00e-03
110,1434.932382,965.516692,0.958586,0.947500,1.00e-03
111,1571.652089,866.987294,0.947601,0.946000,1.00e-03
112,1455.609307,923.907033,0.950000,0.983000,1.00e-03
113,1466.013544,974.224001,0.953914,0.981500,1.00e-03
114,1609.283033,881.635481,0.950253,0.948500,1.00e-03
115,1445.410709,830.656518,0.948990,0.974500,1.00e-03
116,1535.665188,763.136425,0.953409,0.933000,1.00e-03
117,1455.814244,848.666936,0.945455,0.985500,1.00e-03
118,1442.732862,785.323181,0.950126,0.983500,1.00e-03
119,1362.618061,791.344039,0.965025,0.982500,1.00e-03
120,1412.483080,840.633571,0.957071,0.979000,1.00e-03
121,1352.708619,817.106025,0.951389,0.988000,1.00e-03
122,1362.545385,698.997546,0.959343,0.949500,1.00e-03
123,1304.827285,817.544587,0.957323,0.983500,1.00e-03
124,1306.313763,729.725161,0.962626,0.984500,1.00e-03
125,1333.216594,713.846033,0.960732,0.980000,1.00e-03
126,1295.319544,652.465901,0.961490,0.967000,1.00e-03
127,1387.722497,731.348040,0.951136,0.941500,1.00e-03
128,1353.332338,741.947571,0.953788,0.980000,1.00e-03
129,1341.047055,768.786424,0.956944,0.984500,1.00e-03
130,1373.503028,645.440419,0.960859,0.949500,1.00e-03
131,1484.250977,711.558989,0.952273,0.985000,1.00e-03
132,1337.253420,749.538105,0.954798,0.972500,5.00e-04
133,1218.839611,618.876376,0.960732,0.982000,5.00e-04
134,1184.070997,703.873869,0.962374,0.984500,5.00e-04
135,1259.056928,600.952306,0.970455,0.982000,5.00e-04
136,1152.180425,631.846250,0.959343,0.991500,5.00e-04
137,2266.560456,-2006.595475,0.969697,0.982000,5.00e-04
138,1112.544293,581.607068,0.965657,0.978500,5.00e-04
139,1245.307847,583.676218,0.960354,0.982000,5.00e-04
140,1420.425410,577.118323,0.957702,0.985500,5.00e-04
141,1178.397926,569.726826,0.963005,0.981500,5.00e-04
142,1169.368260,577.795458,0.969318,0.979500,5.00e-04
143,1068.675824,580.280213,0.963384,0.983000,5.00e-04
144,1222.059449,722.115364,0.960732,0.991500,5.00e-04
145,1354.569755,-2266.774030,0.970833,0.991500,5.00e-04
146,1178.283103,-2323.312342,0.966414,0.968000,5.00e-04
147,1284.998257,573.649888,0.948990,0.964000,5.00e-04
148,1195.273775,579.590677,0.959848,0.983000,5.00e-04
149,1216.483877,587.495092,0.953914,0.992500,5.00e-04
150,1277.784212,-2514.019688,0.964268,0.984000,5.00e-04
