Experiment: floating_5det_one
Date: 20260405_0338
==================================================
Epoch | Train Loss | Train Acc | Val Loss | Val Acc | LR | Int.Ratio | MaskWt | Time(s) | Status
   44 | 3175.970332 |    0.9038 | 2337.787138 |  0.9295 | 1.00e-03 | 53.2979 | 1600.0000 |   56.72 | Best Model Saved
   45 | 3106.317097 |    0.9038 | 2305.994760 |  0.9290 | 1.00e-03 | 53.3642 | 1600.0000 |   57.36 | Best Model Saved
   46 | 3013.456471 |    0.9092 | 2315.281121 |  0.9255 | 1.00e-03 | 53.2770 | 1600.0000 |   57.10 | 
   47 | 3133.415392 |    0.9023 | 2273.788373 |  0.9250 | 1.00e-03 | 53.1998 | 1600.0000 |   56.04 | 
   48 | 2873.971366 |    0.9135 | 2207.925053 |  0.9275 | 1.00e-03 | 53.4997 | 1600.0000 |   56.69 | Best Model Saved
   49 | 2876.231901 |    0.9054 | 2200.378945 |  0.9285 | 1.00e-03 | 53.3821 | 1600.0000 |   53.97 | 
   50 | 2994.611020 |    0.8996 | 2083.409838 |  0.9290 | 1.00e-03 | 53.6763 | 1600.0000 |   56.08 | Best Model Saved
   51 | 2818.482674 |    0.9074 | 2074.347157 |  0.9330 | 1.00e-03 | 53.7893 | 1600.0000 |   53.89 | Best Model Saved
   52 | 2807.501821 |    0.9082 | 2072.857073 |  0.9330 | 1.00e-03 | 53.8988 | 1600.0000 |   53.56 | Best Model Saved
   53 | 2822.784107 |    0.9124 | 2006.097475 |  0.9255 | 1.00e-03 | 53.9257 | 1600.0000 |   52.52 | Best Model Saved
   54 | 2731.369614 |    0.9136 | 2076.452734 |  0.9200 | 1.00e-03 | 53.6496 | 1600.0000 |   53.18 | 
   55 | 2662.915629 |    0.9092 | 1936.089217 |  0.9295 | 1.00e-03 | 53.9560 | 1600.0000 |   54.28 | Best Model Saved
   56 | 2740.414852 |    0.9122 | 1977.802325 |  0.9275 | 1.00e-03 | 53.8771 | 1600.0000 |   55.53 | 
   57 | 2727.947798 |    0.9097 | 1823.624488 |  0.9350 | 1.00e-03 | 54.1624 | 1600.0000 |   56.67 | Best Model Saved
   58 | 2835.720443 |    0.9066 | 1924.378475 |  0.9290 | 1.00e-03 | 53.9467 | 1600.0000 |   55.73 | 
   59 | 2496.762784 |    0.9186 | 1838.971336 |  0.9325 | 1.00e-03 | 54.2592 | 1600.0000 |   55.22 | Best Model Saved
