Experiment: floating_5det_one
Date: 20260323_2239
==================================================
Epoch | Train Loss | Train Acc | Val Loss | Val Acc | LR | Time(s) | Status
   63 |   0.064454 |    0.9199 | 0.060793 |  0.9435 | 1.00e-03 |  146.85 | 
   64 |   0.063886 |    0.9211 | 0.060606 |  0.9265 | 1.00e-03 |  153.91 | 
   65 |   0.064458 |    0.9216 | 0.060424 |  0.9310 | 1.00e-03 |  133.95 | 
   66 |   0.063538 |    0.9237 | 0.060467 |  0.9365 | 1.00e-03 |  129.17 | 
   67 |   0.063862 |    0.9269 | 0.060240 |  0.9360 | 1.00e-03 |  126.40 | 
   68 |   0.064172 |    0.9266 | 0.060310 |  0.9325 | 1.00e-03 |  187.10 | 
   69 |   0.063870 |    0.9373 | 0.059648 |  0.9345 | 1.00e-03 |  151.20 | 
   70 |   0.062886 |    0.9301 | 0.059490 |  0.9365 | 1.00e-03 |  173.17 | 
   71 |   0.063522 |    0.9297 | 0.059641 |  0.9390 | 1.00e-03 |  160.76 | 
   72 |   0.063126 |    0.9284 | 0.059606 |  0.9630 | 1.00e-03 |  134.08 | 
   73 |   0.063083 |    0.9237 | 0.059173 |  0.9355 | 1.00e-03 |  167.03 | 
   74 |   0.064027 |    0.9269 | 0.059546 |  0.9250 | 1.00e-03 |  150.40 | 
   75 |   0.063441 |    0.9251 | 0.059136 |  0.9345 | 1.00e-03 |  138.70 | 
   76 |   0.062948 |    0.9291 | 0.058865 |  0.9340 | 1.00e-03 |  163.68 | 
   77 |   0.062257 |    0.9304 | 0.058758 |  0.9365 | 1.00e-03 |  159.91 | 
   78 |   0.062674 |    0.9270 | 0.058614 |  0.9370 | 1.00e-03 |  144.82 | 
   79 |   0.062691 |    0.9285 | 0.058640 |  0.9370 | 1.00e-03 |  132.91 | 
   80 |   0.062235 |    0.9319 | 0.058642 |  0.9355 | 1.00e-03 |  130.88 | 
   81 |   0.062145 |    0.9243 | 0.057957 |  0.9310 | 1.00e-03 |  128.13 | 
   82 |   0.061370 |    0.9376 | 0.058006 |  0.9315 | 1.00e-03 |  150.73 | 
   83 |   0.061124 |    0.9303 | 0.058124 |  0.9705 | 1.00e-03 |  180.05 | 
   84 |   0.061168 |    0.9319 | 0.058033 |  0.9710 | 1.00e-03 |  136.76 | 
   85 |   0.062533 |    0.9265 | 0.058069 |  0.9405 | 1.00e-03 |  158.35 | 
   86 |   0.061794 |    0.9329 | 0.057679 |  0.9400 | 1.00e-03 |  157.92 | 
   87 |   0.061440 |    0.9394 | 0.057518 |  0.9525 | 1.00e-03 |  153.06 | 
   88 |   0.061223 |    0.9344 | 0.057309 |  0.9325 | 1.00e-03 |  132.83 | 
   89 |   0.060996 |    0.9311 | 0.057520 |  0.9395 | 1.00e-03 |  129.18 | 
   90 |   0.060732 |    0.9337 | 0.057161 |  0.9335 | 1.00e-03 |  129.22 | 
   91 |   0.061101 |    0.9233 | 0.056996 |  0.9370 | 1.00e-03 |  176.32 | 
   92 |   0.060268 |    0.9355 | 0.056815 |  0.9585 | 1.00e-03 |  138.82 | 
   93 |   0.061492 |    0.9327 | 0.057040 |  0.9320 | 1.00e-03 |  167.09 | 
   94 |   0.060598 |    0.9333 | 0.057032 |  0.9335 | 1.00e-03 |  153.67 | 
   95 |   0.060836 |    0.9341 | 0.056764 |  0.9285 | 1.00e-03 |  136.10 | 
   96 |   0.060507 |    0.9391 | 0.056970 |  0.9335 | 1.00e-03 |  156.64 | 
   97 |   0.060167 |    0.9357 | 0.056678 |  0.9335 | 1.00e-03 |  154.61 | 
   98 |   0.060066 |    0.9330 | 0.056222 |  0.9530 | 1.00e-03 |  135.43 | 
   99 |   0.060168 |    0.9330 | 0.056664 |  0.9155 | 1.00e-03 |  144.03 | 
  100 |   0.060331 |    0.9274 | 0.056318 |  0.9285 | 1.00e-03 |  150.28 | 
--------------------------------------------------------------------------------
Total training time: 14548.93 seconds
Best Validation Accuracy: 0.980000
