epoch,train_loss,val_loss,train_acc,val_acc,learning_rate
110,5.217970,0.047621,0.906944,0.906500,1.00e-03
111,3.323415,0.047168,0.905556,0.923000,1.00e-03
112,5.525300,0.047329,0.911869,0.921000,1.00e-03
113,3.592266,0.047075,0.911237,0.919000,1.00e-03
114,1.124448,0.046477,0.907702,0.935000,1.00e-03
115,3.637149,0.048020,0.902525,0.901000,1.00e-03
116,6.259201,0.046695,0.907071,0.932500,1.00e-03
117,9.605027,0.046750,0.903030,0.920500,1.00e-03
118,6.362706,0.046646,0.905808,0.937500,1.00e-03
119,2.409389,0.046314,0.909343,0.934500,1.00e-03
120,8.604574,0.046697,0.915404,0.919000,1.00e-03
121,30.260884,0.047154,0.902778,0.902500,1.00e-03
122,4.694632,0.046729,0.912121,0.928500,1.00e-03
123,2.178257,0.046544,0.911364,0.928000,1.00e-03
124,4.068581,0.046351,0.912500,0.920500,1.00e-03
125,1.408383,0.046337,0.913889,0.932500,1.00e-03
126,8.245585,0.046530,0.907449,0.919000,1.00e-03
127,6.740864,0.046563,0.908460,0.919000,1.00e-03
128,1.799013,0.046782,0.913889,0.914000,1.00e-03
129,6.440515,0.046583,0.911995,0.924000,1.00e-03
130,3.092688,0.046025,0.914394,0.938000,1.00e-03
131,12.989435,0.046436,0.912247,0.928000,1.00e-03
132,6.535823,0.045823,0.915152,0.942000,1.00e-03
133,1.661205,0.046080,0.911237,0.927000,1.00e-03
134,18.537323,0.046047,0.906944,0.918000,1.00e-03
135,7.048149,0.046271,0.910354,0.927500,1.00e-03
136,1.400827,0.045915,0.920833,0.939000,1.00e-03
137,6.320945,0.045850,0.910859,0.934500,1.00e-03
138,0.565033,0.047350,0.908333,0.898500,1.00e-03
139,16.795669,0.045882,0.912626,0.935000,1.00e-03
140,7.394259,0.045790,0.919192,0.934500,1.00e-03
141,1.503945,0.045572,0.909848,0.943000,1.00e-03
142,4.226723,0.045742,0.915025,0.926500,1.00e-03
143,5.728481,0.045691,0.915025,0.939500,1.00e-03
144,2.198299,0.045493,0.910859,0.940000,1.00e-03
145,1.000360,0.045991,0.915404,0.921000,1.00e-03
146,1.173577,0.045394,0.916540,0.936500,1.00e-03
147,3.047180,0.045985,0.916540,0.940500,1.00e-03
148,1.267331,0.045749,0.908586,0.938000,1.00e-03
149,5.133806,0.045494,0.918182,0.941000,1.00e-03
150,6.234445,0.046359,0.915657,0.921500,1.00e-03
