Experiment: floating_5det_two_layer_zero_tilt
Date: 20260406_1931
==================================================
Epoch | Train Loss | Train Acc | Val Loss | Val Acc | LR | Int.Ratio | MaskWt | Time(s) | Status
   46 |   0.804739 |    0.9039 | 0.050235 |  0.9290 | 1.00e-03 | 57.9086 | 1500.0000 |   79.18 | Best Model Saved
   47 |  13.462554 |    0.9020 | 0.050402 |  0.9255 | 1.00e-03 | 57.9405 | 1500.0000 |   76.72 | Best Model Saved
   48 |   9.756120 |    0.9063 | 0.050479 |  0.9220 | 1.00e-03 | 57.8105 | 1500.0000 |   78.63 | 
   49 |  14.680191 |    0.9016 | 0.051488 |  0.8815 | 1.00e-03 | 57.8385 | 1500.0000 |   75.35 | 
   50 |   2.100414 |    0.9035 | 0.050141 |  0.9045 | 1.00e-03 | 58.2155 | 1500.0000 |   79.55 | Best Model Saved
   51 |   1.611201 |    0.9023 | 0.050103 |  0.9165 | 1.00e-03 | 58.0950 | 1500.0000 |   75.46 | 
   52 |   2.988495 |    0.9010 | 0.049854 |  0.9230 | 1.00e-03 | 58.1985 | 1500.0000 |   75.04 | Best Model Saved
   53 |   1.097317 |    0.9048 | 0.050190 |  0.9185 | 1.00e-03 | 58.0146 | 1500.0000 |   77.32 | 
   54 |   1.445268 |    0.9105 | 0.049619 |  0.9360 | 1.00e-03 | 58.1868 | 1500.0000 |   78.42 | Best Model Saved
   55 |   1.436228 |    0.8995 | 0.049497 |  0.9380 | 1.00e-03 | 58.3034 | 1500.0000 |   78.12 | Best Model Saved
   56 |   2.885877 |    0.8967 | 0.050161 |  0.9090 | 1.00e-03 | 58.1176 | 1500.0000 |   77.30 | 
   57 |   1.882719 |    0.9048 | 0.049793 |  0.9250 | 1.00e-03 | 58.1179 | 1500.0000 |   77.86 | 
   58 |   4.825334 |    0.9004 | 0.051259 |  0.8995 | 1.00e-03 | 57.6493 | 1500.0000 |   76.04 | 
   59 |  13.730671 |    0.9023 | 0.049671 |  0.9305 | 1.00e-03 | 58.2437 | 1500.0000 |   77.43 | 
   60 |   2.361788 |    0.9071 | 0.049718 |  0.9220 | 1.00e-03 | 58.1661 | 1500.0000 |   76.96 | 
   61 |   1.269713 |    0.9057 | 0.049245 |  0.9345 | 1.00e-03 | 58.4561 | 1500.0000 |   76.99 | Best Model Saved
   62 |   1.155242 |    0.9038 | 0.049606 |  0.9315 | 1.00e-03 | 58.1735 | 1500.0000 |   78.23 | 
